,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id,case_type
0,1,1,1,"a 51-year-old white man presents to the clinic with a 2-year history of a painful, recurrent rash on his fingers. he initially noticed redness, irritation, and pustules around his nails that he thought were caused by an infection. however, the rash progressed to affect the nail bed, eventually destroying his nails. on examination, well-demarcated, scaly plaques with associated pustules and nail atrophy are present on the right second and third distal digits. he is otherwise healthy.",Acrodermatitis continua of Hallopeau,Herpetic whitlow,Paronychia,Acute contact dermatitis,Acute contact dermatitis,Dermatology,dermatology_public,case_1,ungendered
1,2,2,2,"an 8-year-old male child is brought to the clinic for the third time in 4 months presenting with red-brown papules with an overlying mica-like scale on the ventral side of his arms and legs. his medical and family histories are otherwise unremarkable. his mother states that when the macules and papules go away, the skin where the lesions were previously located is typically lighter than before.",Varicella,Gianotti-Crosti syndrome,Langerhans cell histiocytosis,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Dermatology,dermatology_public,case_2,ungendered
2,3,3,3,"a 24-year-old white female graduate student presents with erythematous, papulopustular patches of skin in a muzzle-like distribution surrounding the mouth, chin, and glabellar region. the lesions are tender to palpation, associated with a stinging and burning sensation, and are aggravated by exfoliating facial washes. two-year treatment history includes a variety of topical antibiotics, azelaic acid cream, retinoid agents, benzoyl peroxide preparations, topical corticosteroids, and oral tetracycline for cyclic recurrences of outbreaks. these treatment methods were previously successful with complete resolution of each outbreak; however, at present the lesions are persisting despite treatment.",Perioral dermatitis,Acne vulgaris,Allergic contact dermatitis,Facial demodicosis,Perioral dermatitis,Dermatology,dermatology_public,case_3,ungendered
3,4,4,4,"a 20-year-old woman presents to the clinic with a circular hypopigmented lesion on her right cheek. the patient stated that she used to have a mole in the same location. over time she noticed a white area around the mole that enlarged to the current size of the lesion. after a few months she noticed the mole in the center of the lesion had disappeared. on further questioning, she denies any personal or family history of skin cancer.",Halo nevus,Melanoma,Vitiligo,Dysplastic nevus,Halo nevus,Dermatology,dermatology_public,case_4,ungendered
4,5,5,5,"a 29-year-old woman with a history of acne presents to the clinic with 3 discrete, atrophic, blue-tinged plaques on her face. the plaques were located on her forehead and cheeks bilaterally. the patient states the lesions had been present for several months and had slowly worsened until they stabilized at their current appearance. the patient reported that the lesions occurred after she went to a physician for “acne treatment.” the patient has no other medical conditions or relevant social history.",Lichen sclerosis,Corticosteroid-induced atrophy,Morphea,Pityriasis rosea,Corticosteroid-induced atrophy,Dermatology,dermatology_public,case_5,ungendered
5,6,6,6,"a 22-year-old woman complains of an itchy rash on her leg for 4 weeks. she is a collegiate swimmer and had a prior ringworm infection during her freshman year. she has been using over-the-counter antifungal cream for the past 3 weeks with no relief. multiple round, erythematous, scaling lesions are present on her right leg, some of which are vesicular and weeping. potassium hydroxide (koh) test is negative for a dermatophytic infection.",Tinea corporis,Mycosis fungoides,Nummular Eczema,Psoriasis,Nummular Eczema,Dermatology,dermatology_public,case_6,ungendered
6,7,7,7,"a 62-year-old african american man presents to establish care and to undergo skin examination, which he reports receiving regularly since his sister was diagnosed with melanoma. examination reveals 3-mm hyperpigmented horizontal bands across the nailbeds of all fingernails, which he reports have been present since his 20s. he denies experiencing any other nail changes or pain. he takes no medications, and he has no history of skin cancer or suspicious moles. he has no relevant medical history.",Subungual hematoma,Melanonychia,Subungual melanoma,Nummular eczema,Melanonychia,Dermatology,dermatology_public,case_7,ungendered
7,8,8,8,"a 60-year-old man presents to the clinic with a 1-cm long horn-like projection coming from the skin on the superior aspect of the skull just lateral to midline. the structure is yellowish-white in color and feels very firm to the touch. he states that he noticed a small, hard lesion a few months ago and that it has grown progressively larger from the time of initial presentation to now. the patient denies any pain at rest but states that he experiences pain when the lesion is struck accidentally.",Pemphigus vegetans,Acrodermatitis continua supperativa,Proderma gangraneosum,Cutaneous horn,Cutaneous horn,Dermatology,dermatology_public,case_8,ungendered
8,10,10,10,"a 20-year-old male with a medical history of diabetes mellitus type 1 presents with ecchymosis and bullous lesions on his back, posterior legs, and buttocks. he was playing football when he ran into another player and became unconscious. he was immobile in the hospital for 3 days before he regained consciousness. he has about 7 tense blisters with areas of surrounding erythema on the back, buttocks, and posterior thighs.",Bullosis diabeticorum,Subepidermal bullae,Bullous leukocytoclastic vasculitis,Pressure bullae (coma bullae),Pressure bullae (coma bullae),Dermatology,dermatology_public,case_10,ungendered
9,11,11,11,"a 6-year-old caucasian boy is brought to the clinic by his parents for dry, scaly skin that has persisted for the past 2 years despite the use of commercial moisturizers. his scaly skin is especially notable over his lower extremities, back, and elbows. the patient denies any pain over the affected areas and reports only a mild itch that is soothed with cold water or lotions. the parents report that he had a similar condition as an infant throughout his entire body and that he has siblings who also have persistently dry skin. his parents have tried exfoliating the scales with moderate success, but the scales recur shortly thereafter.",X-linked ichthyosis,Ichthyosis vulgaris,Lamellar ichthyosis,Epidermolytic hyperkeratosis,Ichthyosis vulgaris,Dermatology,dermatology_public,case_11,ungendered
10,12,12,12,"a 7-year-old healthy boy is brought to the dermatology clinic by his parents after having had a 3-week history of a rash. the patient’s rash was slightly pruritic, and it involved predominantly the trunk, starting as one larger pink patch with fine scale and subsequently spreading with smaller similar macules and patches. the boy’s palms and soles were spared of the rash.",Pityriasis rosea,Secondary syphilis,Guttate psoriasis,Small plaque parapsoriasis,Pityriasis rosea,Dermatology,dermatology_public,case_12,ungendered
11,13,13,13,"a 24-year-old caucasian woman presented with intermittent, inflammatory papulopustules and nodules on the face, neck, chest, and back. the lesions would appear 1 week premenstrually and resolve 1 week postmenstrually with normal menstrual cycles. she has a history of adolescent acne that is only responsive to isotretinoin 6 years ago. examination revealed scarring and postinflammatory hyperpigmentation diffusely on her face.",Rosacea,Acne vulgaris,Acanthosis nigricans,Alopecia,Acne vulgaris,Dermatology,dermatology_public,case_13,ungendered
12,14,14,14,"a 15-month-old boy presents with a history of skin blistering since birth, primarily on his hands, feet, and the perioral face. blisters and erosions also involve the trunk, some in an annular configuration. there is no family history of neonatal blistering or skin fragility. over time, the patient has had a decreased number of new vesicles and bullae associated with trauma and friction but has developed thicker skin on the soles of the feet and dystrophic nails.",Severe recessive dystrophic EB,Junctional EB,Sweet syndrome,EBS-Dowling Meara,EBS-Dowling Meara,Dermatology,dermatology_public,case_14,ungendered
13,16,16,16,"a 37-year-old man without a significant past medical history presents to the dermatology clinic with an itchy rash on his right hand that he has had for about 4 months. he had tried numerous over-the-counter hand creams and hydrocortisone cream with no improvement. additional questioning revealed a 1-year-history of dry, itchy feet. as a construction worker, he wears occlusive, steel-toed work boots and often wears gloves. he is also right-handed. examination of his hands reveals a normal left hand and a scaly right palm. diffuse, fine, dry white scale was present on the plantar aspect of both feet.",Keratolysis exfoliativa,Dyshidrotic eczema,Palmar plantar pustulosis,Tinea,Tinea,Dermatology,dermatology_public,case_16,ungendered
14,17,17,17,"the patient is a 46-year-old woman who presents at your primary care office for an examination with a single lesion that appears on her left arm. during the examination, it is revealed that the patient has a large sclerotic, indurated, hyperpigmented, anhidrotic, and hairless plaque on the right dorsal forearm. the patient states that these lesions had previously been slightly pink for several months before they had turned brown in color and had become “hard.” the patient has type 2 diabetes, but she has no other medical problems. in addition, she has no relevant social or family history.",Scleroderma (systemic sclerosis),Morphea,Lichen sclerosus,Lipodermatosclerosis,Morphea,Dermatology,dermatology_public,case_17,ungendered
15,19,19,19,"the patient is a 21-year-old male who presents for continued acne therapy. he has had severe acne on his face, chest, and back for years. he is happy with his current acne regimen of topical tretinoin, topical clindamycin, and oral minocycline. he has been on the regimen for years. on examination, you notice significant blue-black discoloration confined to sites of previous acne scars. the patient has no other medical problems and no relevant social or family history.",Type I minocycline hyperpigmentation,Type II minocycline hyperpigmentation,Immunobullous disease,Type III minocycline hyperpigmentation,Type I minocycline hyperpigmentation,Dermatology,dermatology_public,case_19,ungendered
16,20,20,20,"a 53-year-old woman presents with a rash on her left lower extremity that has been present for several weeks. the patient is a native of brazil and immigrated to the united states in the past month. she states that the rash is painless and does not itch. on examination, the patient has multiple, raised, hyperpigmented papules on the left lower extremity. there is a large, atrophic, hypopigmented patch on her lower shin, at the site of a previous large ulcer. the superior lesion is the newest, and is beginning to ulcerate. she has no other medical problems.",Myiasis,Pyoderma,Foreign body granuloma,Cutaneous leishmaniasis,Cutaneous leishmaniasis,Dermatology,dermatology_public,case_20,ungendered
17,21,21,21,"a 6-month-old infant presents with 2 weeks duration of erythematous papules on the soles of both feet and in the toe web spaces. on examination, a single burrow is visible on the left sole. multiple family members also complain of a pruritic rash that has been bothering them for several months. the family members have tried multiple over-the-counter creams and remedies without success. the patient has no other medical problems or relevant family history.",Eczema,Scabies,Allergic contact dermatitis,Localized pruritus,Scabies,Dermatology,dermatology_public,case_21,ungendered
18,22,22,22,"a 42-year-old man presents with a four-day history of experiencing headache, malaise, and stabbing right-sided headache. two days after his initial symptoms appeared, he developed a rash over the area of pain. he reports that he went hiking through the texas hill country prior to becoming ill. the patient is otherwise in good health and has an unremarkable medical history. physical examination reveals unilateral erythematous, thin, raised plaques over the right forehead. in addition, he has no relevant social or family history.",Zosteriform herpes simplex,Contact dermatitis,Herpes zoster,Scabies,Herpes zoster,Dermatology,dermatology_public,case_22,ungendered
