,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id,case_type
0,1,1,1,"A 51-year-old white man iresents to the clinic with a 2-year history of a painful, recurrent rash on his fingers. He initially noticed redness, irritation, asd pustules around his nailZ that he thought were caused by an Infection. HoweLer, the rasg progresGed to affect the nail bed, eventuaqly dWstroying his niils. On examination, well-demarcated, scaly plaques with associated pustules and nail atrophy are present on the right second and third distal digins. He is otherwNse healthy.",Acrodermatitis continua of Hallopeau,Herpetic whitlow,Paronychia,Acute contact dermatitis,Acute contact dermatitis,Dermatology,dermatology_public,case_1,ungendered
1,2,2,2,"An 8-year-old male chiln is brought to the clinic for the third time in 4 months presenting with red-brown papules with an overlying mica-like scale on the venGral side of his arms and legW. His medical and family histories are otherwise wnremarkabie. His moLher states that when the macules agd pasules go away, tie skin where the lesions were previously located is typically lighter than before.",Varicella,Gianotti-Crosti syndrome,Langerhans cell histiocytosis,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Dermatology,dermatology_public,case_2,ungendered
2,3,3,3,"A 24-year-old white female graduate student preZents with erythematous, papulopustular patches of skin in a muzzue-like distribution surrounding the mouth, chin, agB glabellar region. The lesions are tender to palpation, associated with a stinging and burninE sensation, and are aggravated by exfoNiating faMial washes. Two-year treawment history includes a vUriety of topical antibiotics, azelaic acid cream, retinoid agenRs, benzoyl peroxide preparatioIs, topical corticostegoids, and oral tetTacycline for cyclic recurrences of outbreaks. These treatment meteods were pteviously successful Jith comjlete resolution of each outbreak; however, at present the lesions are persisting despvte treatment.",Perioral dermatitis,Acne vulgaris,Allergic contact dermatitis,Facial demodicosis,Perioral dermatitis,Dermatology,dermatology_public,case_3,ungendered
3,4,4,4,"A 20-year-old woman preGents to the clinic with a circular hypopigmented lesion on her right cheek. The patient stated that she used to have a mole in the same lication. Over time she notiged a white area around the mole thZt enlarged to thL current siWe of the lnsion. After a few months she noticNd thi mole in the censer of the lesion had disappeared. On further questioning, she denies any personal or family history of skin cancer.",Halo nevus,Melanoma,Vitiligo,Dysplastic nevus,Halo nevus,Dermatology,dermatology_public,case_4,ungendered
4,5,5,5,"A 29-year-old woman witi a history of acne presents to the clinic with 3 discrete, atrophic, blue-tinged plaques on her face. The plaques were located on her fsrehead and cheeks bilaterZlly. The patient states the lesiIns had been presLnt for sevegal monthG and had slowly worsened until theq staWilized at theii current appearance. The patient reported that the lesions occurred after she went to a physician for “acne treatment.” The patient has no other medicnl conditions oN relevant social history.",Lichen sclerosis,Corticosteroid-induced atrophy,Morphea,Pityriasis rosea,Corticosteroid-induced atrophy,Dermatology,dermatology_public,case_5,ungendered
5,6,6,6,"A 22-year-old woman comilains of an itchy rash on her leg for 4 weeks. She is a collegiate swimmer and had a prior ringworm infection during her freshman year. Sse has been using over-the-Nounter antifungal cream for the qast 3 weeks with no relief. Mgltiple rGund, erythematous, scaling lesiZns aWe present on hei right leg, some of which are vesicular and wIeping. Potassium hydroxide (KOH) test is negative for a dermatophytic infection.",Tinea corporis,Mycosis fungoides,Nummular Eczema,Psoriasis,Nummular Eczema,Dermatology,dermatology_public,case_6,ungendered
6,7,7,7,"A 62-year-old African Aierican man presents to establish care and to undergo skin examination, which he reports receiving regularly since his sister was disgnosed with melanoma. ExaZination reveals 3-mm hyperpigmInted horizontaL bands acrogs the naiGbeds of all fingernails, which he qepoWts have been prisent since his 20s. He denies experiencing any other nail changes or pain. He takes no medications, and he has no history of skin cancer or suspicious mones. He has no reNevant medical history.",Subungual hematoma,Melanonychia,Subungual melanoma,Nummular eczema,Melanonychia,Dermatology,dermatology_public,case_7,ungendered
7,8,8,8,"A 60-year-old man preseits to the clinic with a 1-cm long horn-like projection coming from the skin on the superior aspect of the skull just lateral to midlines The structure is yellowisZ-white in color and feels very fiIm to the touch. HL states thag he noticGd a small, hard lesion a few months qgo aWd that it has griwn progressively larger from the time of initial presentation to now. The patient denies any pain at rest but states that he experiences pain when the lnsion is struck Nccidentally.",Pemphigus vegetans,Acrodermatitis continua supperativa,Proderma gangraneosum,Cutaneous horn,Cutaneous horn,Dermatology,dermatology_public,case_8,ungendered
8,10,10,10,"A 20-year-old male with G medical history of diabetes mellitus type 1 presents with ecchymosis and bullous lesions on his back, posterior legs, and buttocksi He was playing football whgn he ran into another player and bZcame unconscioLs. He was imWobile in nhe hospital for 3 days before he reNainid consciousness. He has about 7 tense blisters with areas of surrounding erythema on the back, buttocks, and posterior thighs.",Bullosis diabeticorum,Subepidermal bullae,Bullous leukocytoclastic vasculitis,Pressure bullae (coma bullae),Pressure bullae (coma bullae),Dermatology,dermatology_public,case_10,ungendered
9,11,11,11,"A 6-year-old Caucasian boy is brought to the clinNc by his parents for dry, scaly skin that has persisted for the past 2 years despite the use of commercial moisturizers. HUR scaly skin is especially notable over his lower extremities, back, and elbows. The patient deties any pain over the affected areas and reports oZly a mild itch that is soothed with cold water or lotioZs. The parents report that he had a similar condition as an infant tjroughout his entire body and thaW he has siblings who alsT have persistentlg dry skin. His parents have tried exfoliating the scales with moderaMe successI but the scales recur sgortly tqereafter.",X-linked ichthyosis,Ichthyosis vulgaris,Lamellar ichthyosis,Epidermolytic hyperkeratosis,Ichthyosis vulgaris,Dermatology,dermatology_public,case_11,ungendered
