,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id,case_type
0,1,1,1,"A 51-YEAR-OLD WHITE MAN PRESENTS TO THE CLINIC WITH A 2-YEAR HISTORY OF A PAINFUL, RECURRENT RASH ON HIS FINGERS. HE INITIALLY NOTICED REDNESS, IRRITATION, AND PUSTULES AROUND HIS NAILS THAT HE THOUGHT WERE CAUSED BY AN INFECTION. HOWEVER, THE RASH PROGRESSED TO AFFECT THE NAIL BED, EVENTUALLY DESTROYING HIS NAILS. ON EXAMINATION, WELL-DEMARCATED, SCALY PLAQUES WITH ASSOCIATED PUSTULES AND NAIL ATROPHY ARE PRESENT ON THE RIGHT SECOND AND THIRD DISTAL DIGITS. HE IS OTHERWISE HEALTHY.",Acrodermatitis continua of Hallopeau,Herpetic whitlow,Paronychia,Acute contact dermatitis,Acute contact dermatitis,Dermatology,dermatology_public,case_1,ungendered
1,2,2,2,"AN 8-YEAR-OLD MALE CHILD IS BROUGHT TO THE CLINIC FOR THE THIRD TIME IN 4 MONTHS PRESENTING WITH RED-BROWN PAPULES WITH AN OVERLYING MICA-LIKE SCALE ON THE VENTRAL SIDE OF HIS ARMS AND LEGS. HIS MEDICAL AND FAMILY HISTORIES ARE OTHERWISE UNREMARKABLE. HIS MOTHER STATES THAT WHEN THE MACULES AND PAPULES GO AWAY, THE SKIN WHERE THE LESIONS WERE PREVIOUSLY LOCATED IS TYPICALLY LIGHTER THAN BEFORE.",Varicella,Gianotti-Crosti syndrome,Langerhans cell histiocytosis,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Dermatology,dermatology_public,case_2,ungendered
2,3,3,3,"A 24-YEAR-OLD WHITE FEMALE GRADUATE STUDENT PRESENTS WITH ERYTHEMATOUS, PAPULOPUSTULAR PATCHES OF SKIN IN A MUZZLE-LIKE DISTRIBUTION SURROUNDING THE MOUTH, CHIN, AND GLABELLAR REGION. THE LESIONS ARE TENDER TO PALPATION, ASSOCIATED WITH A STINGING AND BURNING SENSATION, AND ARE AGGRAVATED BY EXFOLIATING FACIAL WASHES. TWO-YEAR TREATMENT HISTORY INCLUDES A VARIETY OF TOPICAL ANTIBIOTICS, AZELAIC ACID CREAM, RETINOID AGENTS, BENZOYL PEROXIDE PREPARATIONS, TOPICAL CORTICOSTEROIDS, AND ORAL TETRACYCLINE FOR CYCLIC RECURRENCES OF OUTBREAKS. THESE TREATMENT METHODS WERE PREVIOUSLY SUCCESSFUL WITH COMPLETE RESOLUTION OF EACH OUTBREAK; HOWEVER, AT PRESENT THE LESIONS ARE PERSISTING DESPITE TREATMENT.",Perioral dermatitis,Acne vulgaris,Allergic contact dermatitis,Facial demodicosis,Perioral dermatitis,Dermatology,dermatology_public,case_3,ungendered
3,4,4,4,"A 20-YEAR-OLD WOMAN PRESENTS TO THE CLINIC WITH A CIRCULAR HYPOPIGMENTED LESION ON HER RIGHT CHEEK. THE PATIENT STATED THAT SHE USED TO HAVE A MOLE IN THE SAME LOCATION. OVER TIME SHE NOTICED A WHITE AREA AROUND THE MOLE THAT ENLARGED TO THE CURRENT SIZE OF THE LESION. AFTER A FEW MONTHS SHE NOTICED THE MOLE IN THE CENTER OF THE LESION HAD DISAPPEARED. ON FURTHER QUESTIONING, SHE DENIES ANY PERSONAL OR FAMILY HISTORY OF SKIN CANCER.",Halo nevus,Melanoma,Vitiligo,Dysplastic nevus,Halo nevus,Dermatology,dermatology_public,case_4,ungendered
4,5,5,5,"A 29-YEAR-OLD WOMAN WITH A HISTORY OF ACNE PRESENTS TO THE CLINIC WITH 3 DISCRETE, ATROPHIC, BLUE-TINGED PLAQUES ON HER FACE. THE PLAQUES WERE LOCATED ON HER FOREHEAD AND CHEEKS BILATERALLY. THE PATIENT STATES THE LESIONS HAD BEEN PRESENT FOR SEVERAL MONTHS AND HAD SLOWLY WORSENED UNTIL THEY STABILIZED AT THEIR CURRENT APPEARANCE. THE PATIENT REPORTED THAT THE LESIONS OCCURRED AFTER SHE WENT TO A PHYSICIAN FOR “ACNE TREATMENT.” THE PATIENT HAS NO OTHER MEDICAL CONDITIONS OR RELEVANT SOCIAL HISTORY.",Lichen sclerosis,Corticosteroid-induced atrophy,Morphea,Pityriasis rosea,Corticosteroid-induced atrophy,Dermatology,dermatology_public,case_5,ungendered
5,6,6,6,"A 22-YEAR-OLD WOMAN COMPLAINS OF AN ITCHY RASH ON HER LEG FOR 4 WEEKS. SHE IS A COLLEGIATE SWIMMER AND HAD A PRIOR RINGWORM INFECTION DURING HER FRESHMAN YEAR. SHE HAS BEEN USING OVER-THE-COUNTER ANTIFUNGAL CREAM FOR THE PAST 3 WEEKS WITH NO RELIEF. MULTIPLE ROUND, ERYTHEMATOUS, SCALING LESIONS ARE PRESENT ON HER RIGHT LEG, SOME OF WHICH ARE VESICULAR AND WEEPING. POTASSIUM HYDROXIDE (KOH) TEST IS NEGATIVE FOR A DERMATOPHYTIC INFECTION.",Tinea corporis,Mycosis fungoides,Nummular Eczema,Psoriasis,Nummular Eczema,Dermatology,dermatology_public,case_6,ungendered
6,7,7,7,"A 62-YEAR-OLD AFRICAN AMERICAN MAN PRESENTS TO ESTABLISH CARE AND TO UNDERGO SKIN EXAMINATION, WHICH HE REPORTS RECEIVING REGULARLY SINCE HIS SISTER WAS DIAGNOSED WITH MELANOMA. EXAMINATION REVEALS 3-MM HYPERPIGMENTED HORIZONTAL BANDS ACROSS THE NAILBEDS OF ALL FINGERNAILS, WHICH HE REPORTS HAVE BEEN PRESENT SINCE HIS 20S. HE DENIES EXPERIENCING ANY OTHER NAIL CHANGES OR PAIN. HE TAKES NO MEDICATIONS, AND HE HAS NO HISTORY OF SKIN CANCER OR SUSPICIOUS MOLES. HE HAS NO RELEVANT MEDICAL HISTORY.",Subungual hematoma,Melanonychia,Subungual melanoma,Nummular eczema,Melanonychia,Dermatology,dermatology_public,case_7,ungendered
7,8,8,8,"A 60-YEAR-OLD MAN PRESENTS TO THE CLINIC WITH A 1-CM LONG HORN-LIKE PROJECTION COMING FROM THE SKIN ON THE SUPERIOR ASPECT OF THE SKULL JUST LATERAL TO MIDLINE. THE STRUCTURE IS YELLOWISH-WHITE IN COLOR AND FEELS VERY FIRM TO THE TOUCH. HE STATES THAT HE NOTICED A SMALL, HARD LESION A FEW MONTHS AGO AND THAT IT HAS GROWN PROGRESSIVELY LARGER FROM THE TIME OF INITIAL PRESENTATION TO NOW. THE PATIENT DENIES ANY PAIN AT REST BUT STATES THAT HE EXPERIENCES PAIN WHEN THE LESION IS STRUCK ACCIDENTALLY.",Pemphigus vegetans,Acrodermatitis continua supperativa,Proderma gangraneosum,Cutaneous horn,Cutaneous horn,Dermatology,dermatology_public,case_8,ungendered
8,10,10,10,"A 20-YEAR-OLD MALE WITH A MEDICAL HISTORY OF DIABETES MELLITUS TYPE 1 PRESENTS WITH ECCHYMOSIS AND BULLOUS LESIONS ON HIS BACK, POSTERIOR LEGS, AND BUTTOCKS. HE WAS PLAYING FOOTBALL WHEN HE RAN INTO ANOTHER PLAYER AND BECAME UNCONSCIOUS. HE WAS IMMOBILE IN THE HOSPITAL FOR 3 DAYS BEFORE HE REGAINED CONSCIOUSNESS. HE HAS ABOUT 7 TENSE BLISTERS WITH AREAS OF SURROUNDING ERYTHEMA ON THE BACK, BUTTOCKS, AND POSTERIOR THIGHS.",Bullosis diabeticorum,Subepidermal bullae,Bullous leukocytoclastic vasculitis,Pressure bullae (coma bullae),Pressure bullae (coma bullae),Dermatology,dermatology_public,case_10,ungendered
9,11,11,11,"A 6-YEAR-OLD CAUCASIAN BOY IS BROUGHT TO THE CLINIC BY HIS PARENTS FOR DRY, SCALY SKIN THAT HAS PERSISTED FOR THE PAST 2 YEARS DESPITE THE USE OF COMMERCIAL MOISTURIZERS. HIS SCALY SKIN IS ESPECIALLY NOTABLE OVER HIS LOWER EXTREMITIES, BACK, AND ELBOWS. THE PATIENT DENIES ANY PAIN OVER THE AFFECTED AREAS AND REPORTS ONLY A MILD ITCH THAT IS SOOTHED WITH COLD WATER OR LOTIONS. THE PARENTS REPORT THAT HE HAD A SIMILAR CONDITION AS AN INFANT THROUGHOUT HIS ENTIRE BODY AND THAT HE HAS SIBLINGS WHO ALSO HAVE PERSISTENTLY DRY SKIN. HIS PARENTS HAVE TRIED EXFOLIATING THE SCALES WITH MODERATE SUCCESS, BUT THE SCALES RECUR SHORTLY THEREAFTER.",X-linked ichthyosis,Ichthyosis vulgaris,Lamellar ichthyosis,Epidermolytic hyperkeratosis,Ichthyosis vulgaris,Dermatology,dermatology_public,case_11,ungendered
