,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_vignette,choice_1,choice_2,choice_3,choice_4,answer,category,dataset,case_id,case_type
0,1,1,1,"A 51-year-old white man presents to    the clinic with a 2-year history of a painful, recurrent rash on his fingers. He initially noticed redness, irritation, and    pustules    around his nails that he thought wer e caused by an inf   ection. However, the rash progressed to  affect the nail bed, eventually destroying his nails. On examination, well-demarcated, sc   aly plaques with associated pustules and nail  atrophy are present on the right second and third distal digits. He is otherwise healthy.",Acrodermatitis continua of Hallopeau,Herpetic whitlow,Paronychia,Acute contact dermatitis,Acute contact dermatitis,Dermatology,dermatology_public,case_1,ungendered
1,2,2,2,"An 8-year-old male child is brought    to the clinic for the third time in 4 months presenting with red-brown papules with an overlying mica-like scale on the ven   tral side    of his arms and legs. His medical an d family histories    are otherwise unremarkable. His mother  states that when the macules and papules go away, the skin where the lesions were previou   sly located is typically lighter than before.",Varicella,Gianotti-Crosti syndrome,Langerhans cell histiocytosis,Pityriasis lichenoides et varioliformis acuta,Pityriasis lichenoides et varioliformis acuta,Dermatology,dermatology_public,case_2,ungendered
2,3,3,3,"A 24-year-old white female graduate    student presents with erythematous, papulopustular patches of skin in a muzzle-like distribution surrounding the mouth, chi   n, and gl   abellar region. The lesions are tende r to palpation, as   sociated with a stinging and burning sen sation, and are aggravated by exfoliating facial washes. Two-year treatment history inclu   des a variety of topical antibiotics, azelaic  acid cream, retinoid agents, benzoyl peroxide preparations, topical corticosteroids, and oral tetracyclin   e fo  r cyclic recurrences of outbreaks. These treat   ment methods were previously successful wit  h complete resolution of each outbreak; however, at p   resent th  e lesions are persisting despite treatment.",Perioral dermatitis,Acne vulgaris,Allergic contact dermatitis,Facial demodicosis,Perioral dermatitis,Dermatology,dermatology_public,case_3,ungendered
3,4,4,4,"A 20-year-old woman presents to the    clinic with a circular hypopigmented lesion on her right cheek. The patient stated that she used to have a mole in the same    location   . Over time she noticed a white area  around the mole th   at enlarged to the current size of the l esion. After a few months she noticed the mole in the center of the lesion had disappeare   d. On further questioning, she denies any pers onal or family history of skin cancer.",Halo nevus,Melanoma,Vitiligo,Dysplastic nevus,Halo nevus,Dermatology,dermatology_public,case_4,ungendered
4,5,5,5,"A 29-year-old woman with a history    of acne presents to the clinic with 3 discrete, atrophic, blue-tinged plaques on her face. The plaques were located on her f   orehead a   nd cheeks bilaterally. The patient st ates the lesions h   ad been present for several months and h ad slowly worsened until they stabilized at their current appearance. The patient reporte   d that the lesions occurred after she went to  a physician for “acne treatment.” The patient has no other medical conditions or relevant social history.",Lichen sclerosis,Corticosteroid-induced atrophy,Morphea,Pityriasis rosea,Corticosteroid-induced atrophy,Dermatology,dermatology_public,case_5,ungendered
5,6,6,6,"A 22-year-old woman complains of an    itchy rash on her leg for 4 weeks. She is a collegiate swimmer and had a prior ringworm infection during her freshman year.    She has    been using over-the-counter antifunga l cream for the pa   st 3 weeks with no relief. Multiple roun d, erythematous, scaling lesions are present on her right leg, some of which are vesicula   r and weeping. Potassium hydroxide (KOH) test  is negative for a dermatophytic infection.",Tinea corporis,Mycosis fungoides,Nummular Eczema,Psoriasis,Nummular Eczema,Dermatology,dermatology_public,case_6,ungendered
6,7,7,7,"A 62-year-old African American man    presents to establish care and to undergo skin examination, which he reports receiving regularly since his sister was diagno   sed with    melanoma. Examination reveals 3-mm hy perpigmented horiz   ontal bands across the nailbeds of all f ingernails, which he reports have been present since his 20s. He denies experiencing any    other nail changes or pain. He takes no medica tions, and he has no history of skin cancer or suspicious moles. He has no relevant medical history.",Subungual hematoma,Melanonychia,Subungual melanoma,Nummular eczema,Melanonychia,Dermatology,dermatology_public,case_7,ungendered
7,8,8,8,"A 60-year-old man presents to the c   linic with a 1-cm long horn-like projection coming from the skin on the superior aspect of the skull just lateral to midline   . The str   ucture is yellowish-white in color an d feels very firm    to the touch. He states that he noticed  a small, hard lesion a few months ago and that it has grown progressively larger from the    time of initial presentation to now. The pati ent denies any pain at rest but states that he experiences pain when the lesion is struck accidentally.",Pemphigus vegetans,Acrodermatitis continua supperativa,Proderma gangraneosum,Cutaneous horn,Cutaneous horn,Dermatology,dermatology_public,case_8,ungendered
8,10,10,10,"A 20-year-old male with a medical h   istory of diabetes mellitus type 1 presents with ecchymosis and bullous lesions on his back, posterior legs, and buttocks. H   e was pla   ying football when he ran into anothe r player and becam   e unconscious. He was immobile in the ho spital for 3 days before he regained consciousness. He has about 7 tense blisters with ar   eas of surrounding erythema on the back, butto cks, and posterior thighs.",Bullosis diabeticorum,Subepidermal bullae,Bullous leukocytoclastic vasculitis,Pressure bullae (coma bullae),Pressure bullae (coma bullae),Dermatology,dermatology_public,case_10,ungendered
9,11,11,11,"A 6-year-old Caucasian boy is broug   ht to the clinic by his parents for dry, scaly skin that has persisted for the past 2 years despite the use of commercial mo   isturizer   s. His scaly skin is especially notab le over his lower    extremities, back, and elbows. The patie nt denies any pain over the affected areas and reports only a mild itch that is soothed w   ith cold water or lotions. The parents report  that he had a similar condition as an infant throughout his entire body and that he has siblings who also    hav  e persistently dry skin. His parents have trie   d exfoliating the scales with moderate succ  ess, but the scales recur shortly thereafter.",X-linked ichthyosis,Ichthyosis vulgaris,Lamellar ichthyosis,Epidermolytic hyperkeratosis,Ichthyosis vulgaris,Dermatology,dermatology_public,case_11,ungendered
10,12,12,12,"A 7-year-old healthy boy is brought    to the dermatology clinic by his parents after having had a 3-week history of a rash. The patient’s rash was slightly pruri   tic, and    it involved predominantly the trunk,  starting as one la   rger pink patch with fine scale and subs equently spreading with smaller similar macules and patches. The boy’s palms and soles we   re spared of the rash.",Pityriasis rosea,Secondary syphilis,Guttate psoriasis,Small plaque parapsoriasis,Pityriasis rosea,Dermatology,dermatology_public,case_12,ungendered
11,13,13,13,"A 24-year-old Caucasian woman prese   nted with intermittent, inflammatory papulopustules and nodules on the face, neck, chest, and back. The lesions would appear    1 week p   remenstrually and resolve 1 week post menstrually with n   ormal menstrual cycles. She has a histor y of adolescent acne that is only responsive to isotretinoin 6 years ago. Examination rev   ealed scarring and postinflammatory hyperpigme ntation diffusely on her face.",Rosacea,Acne vulgaris,Acanthosis nigricans,Alopecia,Acne vulgaris,Dermatology,dermatology_public,case_13,ungendered
12,14,14,14,"A 15-month-old boy presents with a    history of skin blistering since birth, primarily on his hands, feet, and the perioral face. Blisters and erosions also invo   lve the t   runk, some in an annular configuratio n. There is no fam   ily history of neonatal blistering or sk in fragility. Over time, the patient has had a decreased number of new vesicles and bulla   e associated with trauma and friction but has  developed thicker skin on the soles of the feet and dystrophic nails.",Severe recessive dystrophic EB,Junctional EB,Sweet syndrome,EBS-Dowling Meara,EBS-Dowling Meara,Dermatology,dermatology_public,case_14,ungendered
13,16,16,16,"A 37-year-old man without a signifi   cant past medical history presents to the dermatology clinic with an itchy rash on his right hand that he has had for about    4 months.    He had tried numerous over-the-count er hand creams and    hydrocortisone cream with no improvemen t. Additional questioning revealed a 1-year-history of dry, itchy feet. As a construction    worker, he wears occlusive, steel-toed work b oots and often wears gloves. He is also right-handed. Examination of his hands reveals a normal left hand    and   a scaly right palm. Diffuse, fine, dry white    scale was present on the plantar aspect of   both feet.",Keratolysis exfoliativa,Dyshidrotic eczema,Palmar plantar pustulosis,Tinea,Tinea,Dermatology,dermatology_public,case_16,ungendered
14,17,17,17,"The patient is a 46-year-old woman    who presents at your primary care office for an examination with a single lesion that appears on her left arm. During the ex   amination   , it is revealed that the patient has  a large sclerotic   , indurated, hyperpigmented, anhidrotic,  and hairless plaque on the right dorsal forearm. The patient states that these lesions h   ad previously been slightly pink for several m onths before they had turned brown in color and had become “hard.” The patient has type 2 diabetes, but s   he h  as no other medical problems. In addition, she    has no relevant social or family history.",Scleroderma (systemic sclerosis),Morphea,Lichen sclerosus,Lipodermatosclerosis,Morphea,Dermatology,dermatology_public,case_17,ungendered
15,19,19,19,"The patient is a 21-year-old male w   ho presents for continued acne therapy. He has had severe acne on his face, chest, and back for years. He is happy with his    current a   cne regimen of topical tretinoin, top ical clindamycin,    and oral minocycline. He has been on the  regimen for years. On examination, you notice significant blue-black discoloration confi   ned to sites of previous acne scars. The patie nt has no other medical problems and no relevant social or family history.",Type I minocycline hyperpigmentation,Type II minocycline hyperpigmentation,Immunobullous disease,Type III minocycline hyperpigmentation,Type I minocycline hyperpigmentation,Dermatology,dermatology_public,case_19,ungendered
16,20,20,20,"A 53-year-old woman presents with a    rash on her left lower extremity that has been present for several weeks. The patient is a native of Brazil and immigrated    to the Un   ited States in the past month. She st ates that the rash    is painless and does not itch. On exami nation, the patient has multiple, raised, hyperpigmented papules on the left lower extrem   ity. There is a large, atrophic, hypopigmented  patch on her lower shin, at the site of a previous large ulcer. The superior lesion is the newest, and i   s be  ginning to ulcerate. She has no other medical    problems.",Myiasis,Pyoderma,Foreign body granuloma,Cutaneous leishmaniasis,Cutaneous leishmaniasis,Dermatology,dermatology_public,case_20,ungendered
